Country,Continent,AI_Usage_Perc,Users_Millions,BenefitsIndex,Latitude,Longitude
United States,North America,62.5,210,9.2,37.0902,-95.7129
China,Asia,58.3,180,8.8,35.8617,104.1954
India,Asia,42.1,160,7.9,20.5937,78.9629
Saudi Arabia,Asia,33.4,12,8.3,23.8859,45.0792
Germany,Europe,40.7,55,8.1,51.1657,10.4515
Egypt,Africa,15.2,18,6.2,26.8206,30.8025
South Sudan,Africa,4.3,0.5,2.1,7.8627,29.6947
Brazil,South America,29.6,60,7.4,-14.235,-51.9253
Japan,Asia,47.2,95,8.5,36.2048,138.2529
Russia,Europe,35.9,70,7.1,61.524,105.3188
Nigeria,Africa,12.5,25,5.9,9.082,8.6753
Canada,North America,38.2,28,7.8,56.1304,-106.3468
France,Europe,41.3,33,8.0,46.2276,2.2137
United Kingdom,Europe,44.5,40,8.4,55.3781,-3.4360
South Africa,Africa,21.4,15,6.5,-30.5595,22.9375
Mexico,North America,26.3,30,7.0,23.6345,-102.5528
Indonesia,Asia,18.7,35,6.3,-0.7893,113.9213
Argentina,South America,23.2,17,6.6,-38.4161,-63.6167
Australia,Oceania,39.8,21,8.2,-25.2744,133.7751
Pakistan,Asia,16.4,28,5.7,30.3753,69.3451
Turkey,Asia,27.4,45,7.2,38.9637,35.2433
Italy,Europe,36.9,40,7.9,41.8719,12.5674
Spain,Europe,32.8,35,7.6,40.4637,-3.7492
Colombia,South America,20.5,25,6.4,4.5709,-74.2973
Thailand,Asia,22.9,28,6.7,15.8700,100.9925
Netherlands,Europe,41.5,18,8.1,52.1326,5.2913
Belgium,Europe,39.1,12,7.9,50.8503,4.3517
Sweden,Europe,42.8,10,8.3,60.1282,18.6435
Poland,Europe,30.2,20,7.1,51.9194,19.1451
Norway,Europe,44.9,5,8.5,60.4720,8.4689
Finland,Europe,43.5,6,8.4,61.9241,25.7482
Denmark,Europe,40.3,6,8.2,56.2639,9.5018
Greece,Europe,28.7,10,7.0,39.0742,21.8243
Portugal,Europe,31.1,9,7.3,39.3999,-8.2245
Ireland,Europe,38.0,7,8.0,53.1424,-7.6921
New Zealand,Oceania,37.2,5,8.1,-40.9006,174.8860
Vietnam,Asia,15.5,20,6.0,14.0583,108.2772
Philippines,Asia,18.3,25,6.1,12.8797,121.7740
Chile,South America,22.0,15,6.5,-35.6751,-71.5430
Peru,South America,17.8,12,6.3,-9.1900,-75.0152
Czech Republic,Europe,34.2,11,7.6,49.8175,15.4730
Hungary,Europe,29.3,10,7.0,47.1625,19.5033
Austria,Europe,35.0,9,7.8,47.5162,14.5501
Switzerland,Europe,40.0,8,8.1,46.8182,8.2275
Israel,Asia,43.3,9,8.4,31.0461,34.8516
United Arab Emirates,Asia,46.2,10,8.5,23.4241,53.8478
Qatar,Asia,45.5,4,8.3,25.3548,51.1839
Kuwait,Asia,44.0,3,8.1,29.3759,47.9774
Bahrain,Asia,43.5,2,7.9,26.0667,50.5577
Oman,Asia,30.0,4,7.2,21.5126,55.9233
Jordan,Asia,25.0,3,7.0,30.5852,36.2384
Lebanon,Asia,20.0,3,6.8,33.8547,35.8623
Morocco,Africa,15.5,7,6.0,31.7917,-7.0926
Tunisia,Africa,14.0,5,5.9,33.8869,9.5375
Algeria,Africa,13.3,10,6.1,28.0339,1.6596
Ghana,Africa,12.0,6,5.8,7.9465,-1.0232
Kenya,Africa,11.5,6,5.7,-0.0236,37.9062
Uganda,Africa,10.5,4,5.5,1.3733,32.2903
Ethiopia,Africa,9.7,10,5.4,9.145,40.4897
Tanzania,Africa,8.9,5,5.2,-6.369,34.8888
Zimbabwe,Africa,7.5,3,5.0,-19.0154,29.1549
Botswana,Africa,6.5,2,5.1,-22.3285,24.6849
Namibia,Africa,6.0,2,5.1,-22.9576,18.4904
Malawi,Africa,5.2,2,4.9,-13.2543,34.3015
Mozambique,Africa,4.8,3,4.7,-18.6657,35.5296
Madagascar,Africa,4.2,3,4.6,-18.7669,46.8691
